,score,remaining_marbles,moves
20,20,7,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((2, 3), (2, 1)), ((0, 3), (2, 3)), ((2, 0), (2, 2)), ((6, 3), (4, 3)), ((4, 3), (4, 5)), ((2, 3), (4, 3)), ((5, 5), (3, 5)), ((3, 1), (3, 3)), ((4, 3), (2, 3)), ((3, 5), (3, 3)), ((3, 3), (1, 3))]"
21,19,7,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((2, 3), (2, 1)), ((0, 3), (2, 3)), ((2, 0), (2, 2)), ((6, 3), (4, 3)), ((4, 3), (4, 5)), ((2, 3), (4, 3)), ((5, 5), (3, 5)), ((3, 5), (3, 3)), ((4, 3), (4, 1)), ((2, 2), (4, 2)), ((4, 1), (2, 1))]"
22,19,7,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((2, 3), (2, 1)), ((0, 3), (2, 3)), ((2, 0), (2, 2)), ((6, 3), (4, 3)), ((4, 3), (4, 5)), ((2, 3), (4, 3)), ((5, 5), (3, 5)), ((3, 5), (3, 3)), ((4, 3), (4, 1)), ((2, 2), (4, 2)), ((4, 1), (2, 1))]"
23,20,7,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((2, 3), (2, 1)), ((0, 3), (2, 3)), ((2, 0), (2, 2)), ((6, 3), (4, 3)), ((4, 3), (4, 5)), ((2, 3), (4, 3)), ((5, 5), (3, 5)), ((3, 5), (3, 3)), ((4, 3), (4, 1)), ((2, 2), (4, 2)), ((4, 2), (4, 0))]"
24,20,7,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((2, 3), (2, 1)), ((0, 3), (2, 3)), ((2, 0), (2, 2)), ((6, 3), (4, 3)), ((4, 3), (4, 5)), ((2, 3), (4, 3)), ((5, 5), (3, 5)), ((3, 5), (3, 3)), ((4, 3), (4, 1)), ((2, 2), (4, 2)), ((4, 2), (4, 0))]"
25,20,7,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((2, 3), (2, 1)), ((0, 3), (2, 3)), ((2, 0), (2, 2)), ((6, 3), (4, 3)), ((4, 3), (4, 5)), ((2, 3), (4, 3)), ((5, 5), (3, 5)), ((3, 1), (3, 3)), ((2, 4), (4, 4)), ((4, 3), (4, 5)), ((3, 5), (5, 5))]"
26,20,7,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((2, 3), (2, 1)), ((0, 3), (2, 3)), ((2, 0), (2, 2)), ((6, 3), (4, 3)), ((4, 3), (4, 5)), ((2, 3), (4, 3)), ((5, 5), (3, 5)), ((3, 1), (3, 3)), ((2, 4), (4, 4)), ((4, 3), (4, 5)), ((3, 5), (5, 5))]"
27,20,7,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((2, 3), (2, 1)), ((0, 3), (2, 3)), ((2, 0), (2, 2)), ((6, 3), (4, 3)), ((4, 3), (4, 5)), ((2, 3), (4, 3)), ((5, 5), (3, 5)), ((3, 1), (3, 3)), ((2, 4), (4, 4)), ((4, 3), (4, 5)), ((3, 5), (5, 5))]"
28,21,7,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((2, 3), (2, 1)), ((0, 3), (2, 3)), ((2, 0), (2, 2)), ((6, 3), (4, 3)), ((4, 3), (4, 5)), ((2, 3), (4, 3)), ((5, 5), (3, 5)), ((3, 1), (3, 3)), ((3, 4), (3, 2)), ((4, 2), (4, 4)), ((3, 2), (1, 2))]"
29,20,7,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((2, 3), (2, 1)), ((0, 3), (2, 3)), ((2, 0), (2, 2)), ((6, 3), (4, 3)), ((4, 3), (4, 5)), ((2, 3), (4, 3)), ((5, 5), (3, 5)), ((3, 1), (3, 3)), ((3, 4), (3, 2)), ((4, 2), (4, 4)), ((2, 2), (4, 2))]"
